Player,Pos,Team,Opp,DK Proj,FD Proj,FFPC Proj,Standard Proj,Half PPR Proj,Full PPR Proj,DK Ceiling,FD Ceiling,Slate
Jahmyr Gibbs,RB,DET,DAL,27.2,24.3,26,20.3,23.1,25.8,43.8,40.3,Thursday
Josh Allen,QB,BUF,CIN,24.2,24,25.3,22.7,22.7,22.7,36.2,36.2,Main
Jonathan Taylor,RB,IND,@JAX,23.4,21.8,22,19,20.5,21.9,38.2,36.4,Main
Puka Nacua,WR,LA,@ARI,22.7,18.6,21.4,13.3,17.3,21.4,37.2,31.6,Main
De'Von Achane,RB,MIA,@NYJ,22.6,20.3,21.5,16.9,19.1,21.4,36.8,33.9,Main
James Cook,RB,BUF,CIN,22,20.7,20.6,18.2,19.3,20.4,36.8,35.2,Main
Dak Prescott,QB,DAL,@DET,21.9,21.7,22.8,19.7,19.7,19.7,32.9,32.9,Thursday
Jaxon Smith-Njigba,WR,SEA,@ATL,21.6,18.3,20.4,13.9,17.1,20.3,36.7,32,Main
Bijan Robinson,RB,ATL,SEA,21.1,18.4,20.4,15.2,17.7,20.3,34.8,31.3,Main
George Pickens,WR,DAL,@DET,21.1,17.8,19.9,13.4,16.6,19.8,36.3,31.6,Thursday
CeeDee Lamb,WR,DAL,@DET,20.9,17.4,19.7,12.7,16.2,19.7,35.8,30.8,Thursday
Ja'Marr Chase,WR,CIN,@BUF,20.6,17,19.6,12.4,16,19.6,35,30,Main
Matthew Stafford,QB,LA,@ARI,20.4,20.2,21.5,18.6,18.6,18.6,30.9,30.8,Main
Josh Jacobs,RB,GB,CHI,20.2,18.9,19,16.6,17.7,18.9,34.2,32.6,Main
Lamar Jackson,QB,BAL,PIT,19.9,19.6,21.1,18.6,18.6,18.6,30.9,30.8,Main
Jameson Williams,WR,DET,DAL,19.6,16.7,18.5,12.7,15.6,18.4,34.6,30.3,Thursday
Jalen Hurts,QB,PHI,@LAC,19.6,19.3,20.8,18.4,18.4,18.4,29.4,29.4,Monday
Trey McBride,TE,ARI,LA,19.2,15.3,22.2,10.6,14.5,18.3,32.1,26.5,Main
Patrick Mahomes,QB,KC,HOU,19.2,18.9,20.3,17.6,17.6,17.6,29.5,29.4,Sunday
Bo Nix,QB,DEN,@LV,18.9,18.7,20,17.5,17.5,17.5,29.2,29.2,Main
Trevor Lawrence,QB,JAX,IND,18.8,18.5,19.8,17.1,17.1,17.1,29.2,29.1,Main
Daniel Jones,QB,IND,@JAX,18.7,18.5,19.7,16.8,16.8,16.8,29.3,29.3,Main
Rashee Rice,WR,KC,HOU,18.7,15,17.9,10.6,14.2,17.9,32.1,26.9,Sunday
Jared Goff,QB,DET,DAL,18.6,18.4,19.8,17,17,17,29.1,29,Thursday
Jordan Love,QB,GB,CHI,18.3,18.2,19.5,17,17,17,28.4,28.3,Main
Joe Burrow,QB,CIN,@BUF,17.9,17.7,19,16.3,16.3,16.3,28.1,28.1,Main
Bucky Irving,RB,TB,NO,17.8,16.4,17.5,14.9,16.1,17.4,23,21.4,Main
Saquon Barkley,RB,PHI,@LAC,17.7,16.1,16.8,13.8,15.2,16.6,30,28.1,Monday
Baker Mayfield,QB,TB,NO,17.7,17.5,18.9,16.4,16.4,16.4,27.5,27.4,Main
Jacoby Brissett,QB,ARI,LA,17.6,17.3,18.7,15.8,15.8,15.8,27.7,27.7,Main
Derrick Henry,RB,BAL,PIT,17.6,16.8,16.5,15,15.7,16.4,30.9,29.9,Main
Breece Hall,RB,NYJ,MIA,17.5,15.9,16.8,13.8,15.2,16.6,29.5,27.5,Main
Justin Jefferson,WR,MIN,WAS,17,14.1,16.2,10.6,13.4,16.2,29.9,25.8,Main
Marcus Mariota,QB,WAS,@MIN,17,16.7,18,15.7,15.7,15.7,26.5,26.4,Main
Davante Adams,WR,LA,@ARI,16.9,14.4,16.3,11.3,13.8,16.2,30.8,27.1,Main
Quinshon Judkins,RB,CLE,TEN,16.8,15.9,15.7,14,14.7,15.5,29.2,28.1,Main
Michael Wilson,WR,ARI,LA,16.6,13.5,15.9,9.8,12.8,15.8,29.4,25,Main
Sam Darnold,QB,SEA,@ATL,16.6,16.4,17.8,15.3,15.3,15.3,26.5,26.5,Main
Chase Brown,RB,CIN,@BUF,16.4,14.3,16,12,14,15.9,28.6,25.9,Main
